海岸番号,海岸,エリア,市町,調査延長m,緯度,経度,季節,分類番号,分類,体積L,重量Kg
5,長瀬海岸,西部,江田島市,345,34.226,132.452,春,1,ペットボトル,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,春,2,プラスチックボトル,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,春,3,食品プラスチック容器,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,春,4,食品袋,0.002,0.004
5,長瀬海岸,西部,江田島市,345,34.226,132.452,春,5,ライター,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,春,6,産廃系,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,春,7,カキ養殖用バルブ,0.025,0.025
5,長瀬海岸,西部,江田島市,345,34.226,132.452,春,8,その他プラスチック類,0.034,0.014
5,長瀬海岸,西部,江田島市,345,34.226,132.452,春,9,発泡スチロール製フロート,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,春,10,その他（金属・ゴム・木・ガラス・陶器）,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,秋,1,ペットボトル,2.500,0.035
5,長瀬海岸,西部,江田島市,345,34.226,132.452,秋,2,プラスチックボトル,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,秋,3,食品プラスチック容器,0.166,0.015
5,長瀬海岸,西部,江田島市,345,34.226,132.452,秋,4,食品袋,0.050,0.024
5,長瀬海岸,西部,江田島市,345,34.226,132.452,秋,5,ライター,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,秋,6,産廃系,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,秋,7,カキ養殖用バルブ,0.431,0.101
5,長瀬海岸,西部,江田島市,345,34.226,132.452,秋,8,その他プラスチック類,1.425,0.069
5,長瀬海岸,西部,江田島市,345,34.226,132.452,秋,9,発泡スチロール製フロート,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,秋,10,その他（金属・ゴム・木・ガラス・陶器）,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,冬,1,ペットボトル,0.500,0.016
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,冬,2,プラスチックボトル,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,冬,3,食品プラスチック容器,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,冬,4,食品袋,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,冬,5,ライター,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,冬,6,産廃系,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,冬,7,カキ養殖用バルブ,0.100,0.010
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,冬,8,その他プラスチック類,0.020,0.015
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,冬,9,発泡スチロール製フロート,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,冬,10,その他（金属・ゴム・木・ガラス・陶器）,0.185,0.037
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,夏,1,ペットボトル,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,夏,2,プラスチックボトル,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,夏,3,食品プラスチック容器,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,夏,4,食品袋,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,夏,5,ライター,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,夏,6,産廃系,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,夏,7,カキ養殖用バルブ,0.010,0.010
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,夏,8,その他プラスチック類,0.251,0.010
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,夏,9,発泡スチロール製フロート,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,夏,10,その他（金属・ゴム・木・ガラス・陶器）,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,春,1,ペットボトル,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,春,2,プラスチックボトル,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,春,3,食品プラスチック容器,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,春,4,食品袋,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,春,5,ライター,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,春,6,産廃系,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,春,7,カキ養殖用バルブ,0.366,0.088
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,春,8,その他プラスチック類,0.015,0.015
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,春,9,発泡スチロール製フロート,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,春,10,その他（金属・ゴム・木・ガラス・陶器）,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,秋,1,ペットボトル,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,秋,2,プラスチックボトル,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,秋,3,食品プラスチック容器,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,秋,4,食品袋,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,秋,5,ライター,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,秋,6,産廃系,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,秋,7,カキ養殖用バルブ,0.497,0.089
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,秋,8,その他プラスチック類,0.005,0.005
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,秋,9,発泡スチロール製フロート,0.000,0.000
6,長浜海水浴場,西部,江田島市,354,34.145,132.483,秋,10,その他（金属・ゴム・木・ガラス・陶器）,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,冬,1,ペットボトル,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,冬,2,プラスチックボトル,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,冬,3,食品プラスチック容器,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,冬,4,食品袋,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,冬,5,ライター,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,冬,6,産廃系,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,冬,7,カキ養殖用バルブ,0.381,0.051
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,冬,8,その他プラスチック類,0.502,0.038
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,冬,9,発泡スチロール製フロート,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,冬,10,その他（金属・ゴム・木・ガラス・陶器）,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,夏,1,ペットボトル,0.500,0.008
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,夏,2,プラスチックボトル,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,夏,3,食品プラスチック容器,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,夏,4,食品袋,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,夏,5,ライター,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,夏,6,産廃系,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,夏,7,カキ養殖用バルブ,0.050,0.015
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,夏,8,その他プラスチック類,0.336,0.037
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,夏,9,発泡スチロール製フロート,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,夏,10,その他（金属・ゴム・木・ガラス・陶器）,1.159,0.021
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,春,1,ペットボトル,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,春,2,プラスチックボトル,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,春,3,食品プラスチック容器,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,春,4,食品袋,0.000,0.000
7,音戸大浦崎海岸,中部,呉市,355,34.174,132.557,春,5,ライター,0.000,0.000
